phase,iteration,duration_s,fps,cache_hit,cache_miss,cache_size,rss_mb,gpu_vram_mb,note
reset_direct_sim,0,0.568219875,,0,0,0,320.734375,,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_apple_wrapper/desk__plate-ycb_apple_wrapper.xml
reset_direct_sim,1,0.09379937499999991,,0,0,0,441.15234375,,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_apple_wrapper/desk__plate-ycb_apple_wrapper.xml
reset_direct_sim,2,0.08716429199999998,,0,0,0,452.9921875,,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_apple_wrapper/desk__plate-ycb_apple_wrapper.xml
reset_direct_sim,3,0.08363991699999995,,0,0,0,462.39453125,,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_apple_wrapper/desk__plate-ycb_apple_wrapper.xml
reset_direct_sim,4,0.08130645800000003,,0,0,0,463.7265625,,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_apple_wrapper/desk__plate-ycb_apple_wrapper.xml
reset_direct_sim,5,0.07742241599999988,,0,0,0,473.03515625,,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_apple_wrapper/desk__plate-ycb_apple_wrapper.xml
reset_direct_sim,6,0.07514258299999987,,0,0,0,482.16015625,,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_apple_wrapper/desk__plate-ycb_apple_wrapper.xml
reset_direct_sim,18,0.08271600000000001,,0,0,0,511.6796875,,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_apple_wrapper/desk__plate-ycb_apple_wrapper.xml
reset_direct_sim,19,0.08210870800000025,,0,0,0,512.1640625,,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_apple_wrapper/desk__plate-ycb_apple_wrapper.xml
step_no_render_direct_sim,0,0.00012129199999977303,8244.566830474156,,,,517.9140625,,
step_no_render_direct_sim,1,0.00038716699999996607,2582.8647586186003,,,,517.9140625,,
step_no_render_direct_sim,2,0.00016762500000000458,5965.6972408648635,,,,517.9140625,,
step_no_render_direct_sim,3,0.00015704200000010715,6367.723284212616,,,,517.9140625,,
step_no_render_direct_sim,4,0.00016458300000010695,6075.96167282982,,,,517.9140625,,
step_no_render_direct_sim,5,0.00015779199999998994,6337.4569052934485,,,,517.9140625,,
step_no_render_direct_sim,6,0.00017045800000037303,5866.547771285664,,,,517.9140625,,
step_no_render_direct_sim,7,0.0006157089999998533,1624.143873161247,,,,517.9140625,,
step_no_render_direct_sim,8,0.0009494170000001745,1053.2779589999086,,,,517.9140625,,
step_no_render_direct_sim,9,0.0008041670000000778,1243.5228006121904,,,,517.9140625,,
step_no_render_direct_sim,10,0.0002802079999999485,3568.7774795872488,,,,517.9140625,,
step_no_render_direct_sim,11,0.00026916699999990357,3715.165677814733,,,,517.9140625,,
step_no_render_direct_sim,12,0.0002716669999998089,3680.977078558321,,,,517.9140625,,
step_no_render_direct_sim,13,0.0003291659999997698,3037.9808364190085,,,,517.9140625,,
step_no_render_direct_sim,14,0.00034120800000003726,2930.7636397736596,,,,517.9140625,,
step_no_render_direct_sim,15,0.00032891700000003965,3040.280678711892,,,,517.9140625,,
step_no_render_direct_sim,16,0.000296916000000369,3367.955920188731,,,,517.9140625,,
step_no_render_direct_sim,17,0.00030170899999992784,3314.452005078533,,,,517.9140625,,
