object,test,pass_fail,max_linear_velocity_after_settling,max_angular_velocity_after_settling,max_normal_contact_force,min_body_z,finger_contact_count,recommended_fix,duration_s
stable_block,drop,pass,0.007079919608056495,5.9925157295592916e-15,0.2942999395585226,0.0508824077259312,0,,0.013532042000000022
stable_block,rest_on_table,pass,1.459928897916528e-09,5.832592197949e-15,0.2943000000000003,0.050982518066824155,0,,0.015245583000000007
stable_block,push,pass,0.07415848607891712,1.3749731893967563,0.6231942518207582,0.05098250927390404,0,,0.03103550000000005
stable_block,gripper_squeeze,fail,5.9728350976431415,17.71141133400206,0.0,0.11252377217599685,0,no gripper/object contact; check object placement and finger pad reach,0.01576433399999999
stable_block,lift,fail,5.9728350976431415,17.71141133400206,7.669642223227914,0.11252377217599685,0,no gripper/object contact; check object placement and finger pad reach,0.017469040999999963
stable_can,drop,pass,1.1274459681248927,24.607722328597504,14.145720809840768,0.06097794177032651,0,,0.012666666999999965
stable_can,rest_on_table,pass,0.015509215985173047,0.4048309711385353,1.1708407561869736,0.0607256629626551,0,,0.011514625
stable_can,push,pass,1.1875434096013648,15.889094332645795,6.962576741098957,0.06071285844318843,0,,0.009653458000000004
stable_can,gripper_squeeze,fail,4.653012092644126,47.417533131220296,1.1036450194887264,0.33331495058926014,0,no gripper/object contact; check object placement and finger pad reach,0.008961790999999997
stable_can,lift,fail,4.653012092644126,47.417533131220296,1.1036450194887264,0.33331495058926014,0,no gripper/object contact; check object placement and finger pad reach,0.013382832999999983
stable_sphere,drop,pass,0.0028874151598438347,2.1560838657382192e-16,0.8828999651442485,0.05089200915528021,0,,0.008240000000000025
stable_sphere,rest_on_table,pass,5.710414242756556e-10,1.763163461113118e-16,0.8829,0.0509304592568466,0,,0.00911108300000002
stable_sphere,push,pass,1.877345161754526,43.31619350356862,0.8828999999915926,0.05093045444808207,0,,0.008539750000000013
stable_sphere,gripper_squeeze,pass,1.9598596263833878,0.0037118498387248033,3.959230373189713,1.0805262533740334,2,,0.010275332999999998
stable_sphere,lift,pass,2.158925165506355,0.0037118498387248033,3.959230373189713,1.0805262533740334,2,,0.01636270900000003
ycb_apple,drop,pass,0.0008829724706209254,1.7142741545784674e-16,1.079162784874451,0.05391573042903649,0,,0.00790087500000003
ycb_apple,rest_on_table,pass,5.710414203115485e-10,1.0842021724855044e-16,1.0791000000000004,0.05393045925684659,0,,0.009125166000000018
ycb_apple,push,pass,1.4783232122308798,32.569888427194826,1.0790999999897262,0.05393045444808207,0,,0.008934249999999921
ycb_apple,gripper_squeeze,pass,1.954332782552793,0.006860555943938146,5.869307558947313,1.0751143991526977,2,,0.010561666999999941
ycb_apple,lift,pass,2.2099505372013177,0.28650209568782936,5.869307558947313,1.0751143991526977,2,,0.016684083000000016
plate,drop,pass,0.12933173273666002,1.6345527254847492,3.6994464079612577,0.02647498795439912,0,,0.008428291999999948
plate,rest_on_table,pass,0.007122085990727918,0.6189604022952658,1.9429953304763319,0.026777752772841418,0,,0.009792167000000074
plate,push,pass,0.02634390633951052,0.6476795060071439,2.1362310316083093,0.02679916605888296,0,,0.009800750000000025
plate,gripper_squeeze,pass,1.9466616649190411,0.6438092245978158,118.64087057255391,1.0060214736769229,2,,0.011974999999999958
plate,lift,pass,3.4733119660942435,0.6438092245978158,118.64087057255391,1.0060214736769229,2,,0.016707291000000013
bowl,drop,pass,0.15756988170143782,2.6656356087643718,6.314872763910752,0.02908384098746846,0,,0.008600166999999992
bowl,rest_on_table,pass,0.00638206699561013,0.4790138779131191,2.1101126568679436,0.029187434215929228,0,,0.009728624999999935
bowl,push,pass,0.028683534165419248,0.5610854942923685,2.3991237678377653,0.02919611922456939,0,,0.009948584000000094
bowl,gripper_squeeze,pass,1.9494689614940581,0.502574639859343,202.86389941102715,1.006309834413095,13,,0.025233249999999985
bowl,lift,pass,3.243120935015178,2.655690853612299,202.86389941102715,1.006309834413095,13,,0.03154854099999993
ycb_b_cups,drop,pass,1.375260492331279,15.262922264513621,16.889162131691734,0.0618587822730195,0,,0.007603125000000044
ycb_b_cups,rest_on_table,pass,0.009373107429152896,0.23338248429425523,1.2650264001903495,0.06572271812301539,0,,0.009499542000000027
ycb_b_cups,push,pass,0.8176550547847715,12.101774900960729,21.84449146597511,0.06571408046507723,0,,0.010277915999999943
ycb_b_cups,gripper_squeeze,pass,1.9187996881262073,11.675881284274391,8.342658426365194,0.9661130949446707,2,,0.011758292000000004
ycb_b_cups,lift,pass,3.350968017566959,11.675881284274391,8.342658426365194,0.9661130949446707,2,,0.015434332999999967
